,tweets
0,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
1,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
2,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
3,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
4,The presentation for Best Actress TV Comedy was funniest of the night thanks to @azizansari and congrats to @lenadunham. #goldenglobes
5,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
6,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
7,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
8,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
9,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
10,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
11,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
12,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
13,"RT @PhilstarNews: George Clooney presents the Best Actress in a Motion Picture, Drama to Jessica Chastain for ""Zero Dark Thirty"" #GoldenGlobes"
14,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
15,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
16,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
17,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
18,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
19,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
20,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
21,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
22,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
23,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
