,tweets
0,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
1,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
2,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
3,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
4,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
5,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
6,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
7,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
8,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
9,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
10,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
11,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
12,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
13,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
14,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
15,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
16,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
17,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
18,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
19,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
20,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
21,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
22,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
23,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
24,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
25,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
26,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
27,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
28,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
29,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
