,text
0,@JakeCortes @Jessica_Salado comentando los #GoldenGlobes #GoldenGlobesNex mejores presentadores no hay @NexPanama
1,RT @VictorBejerano: @JakeCortes @Jessica_Salado comentando los #GoldenGlobes #GoldenGlobesNex mejores presentadores no hay @NexPanama
2,RT @TV3Xpose: What's your verdict on @ENews presenter Giuliana Rancic's Oriett Domenech dress? #goldenglobes http://t.co/lesP5H0F
3,THISSSSSSSSSS RT @as_seenontv It's appalling that Kerry Washington is there only as a presenter and not as a nominee. #GoldenGlobes #Scandal
4,Há duas coisas que não percebo: a apresentadora do E!. O vestido da apresentadora do E!. #goldenglobes
5,Jay Leno a presenter #ERedCarpet #GoldenGlobes http://t.co/CG30b1rp
6,RT @Versace: Presenter &amp; Oscar Award winner Halle Berry is showstopping in a printed gown from Atelier Versace Fall 2012 at the Golden Globes right now!
7,"RT @kerrywashington: Golden Globes! 
Sitting with #Django @UnchainedMovie family! And presenting in a TV category on behalf of my @ScandalABC family! #blessed"
8,RT @Versace: Presenter &amp; Oscar Award winner Halle Berry is showstopping in a printed gown from Atelier Versace Fall 2012 at the Golden Globes right now!
9,"RT @NBCNewsEnt: George Clooney says he plans to avoid ""disaster"" by waiting to drink until after he presents at the #GoldenGlobes"
10,"RT @spunk_ransom: Rob Presents at the 2013 Golden Globes Awards Live in Beverly Hills, CA (Spunk Ransom Videos Only): Red Carpet: http://t.co/2phtMxmE"
11,Let's see who gives the first drunk acceptance speech and/or presentation. I'm going with Daniel Day Lincoln. #GoldenGlobes
12,Sofía Vergara representando la belleza de la mujer latina.. Va por el Globo de Oro a mejor actriz.. #GoldenGlobes
13,RT @EricaDeLong: #GoldenGlobes #EricaRedCarpet Dustin Hoffman wins best personality on the red carpet tonight.  He is a presenter &amp; His movie opens jan 25th
14,RT @YoshikiOfficial: http://t.co/CLvf9y3f　Golden Globes News! I'm presenting the award on stage!! Can't tell you what category but Watch the show!! Love you!
15,Arrancan los #GoldenGlobes con Tina Fay de presentadora.
