,tweets
0,Did Daniel Day Lewis just liken his performance to a scavenge finding a mouse and presenting it to its owner? #actors #GoldenGlobes
1,RT @Enredate: George Clooney continua presentando el premio a Mejor Actor en una pelicula dramatica #GoldenGlobes
2,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
3,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
4,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
5,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
6,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
7,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
8,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
9,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
10,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
11,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
12,Did Daniel Day Lewis just liken his performance to a scavenge finding a mouse and presenting it to its owner? #actors #GoldenGlobes
13,RT @Enredate: George Clooney continua presentando el premio a Mejor Actor en una pelicula dramatica #GoldenGlobes
14,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
15,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
16,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
17,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
18,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
19,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
20,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
21,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
22,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
23,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
24,Did Daniel Day Lewis just liken his performance to a scavenge finding a mouse and presenting it to its owner? #actors #GoldenGlobes
25,RT @Enredate: George Clooney continua presentando el premio a Mejor Actor en una pelicula dramatica #GoldenGlobes
26,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
27,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
28,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
29,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
30,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
31,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
32,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
33,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
34,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
35,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
36,Did Daniel Day Lewis just liken his performance to a scavenge finding a mouse and presenting it to its owner? #actors #GoldenGlobes
37,RT @Enredate: George Clooney continua presentando el premio a Mejor Actor en una pelicula dramatica #GoldenGlobes
38,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
39,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
40,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
41,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
42,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
43,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
44,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
45,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
46,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
47,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
